url_path,parent_url,category_level,top_level,suggested_label,created_for_urls
,,,,,
/brands/hitchley-harrow,/brands,3,/brands,Hitchley Harrow,/collections/hitchley-harrow
/clothing/activewear/base-layers,/clothing/activewear,3,clothing,Base Layers,/collections/base-layers; /collections/base-layers/navy
/brands/visentin,/brands,3,accessories,Visentin,/collections/visentin-equestrian
/accessories/homeware,/accessories,2,accessories,Homeware,/collections/homeware
/horse/tack/freejump-stirrups,/horse/tack,3,horse,Freejump Stirrups,/collections/stirrups/freejump
/clothing/tops/base-layers,/clothing/tops,3,clothing,Base Layers,/collections/base-layers/grey; /collections/base-layers/white; /collections/base-layers/black
/rider/accessories/water-bottles,/rider/accessories,3,rider,Water Bottles,/collections/accessories/water-bottles
/horse/stable/hay-feeders,/horse/stable,3,horse,Hay Feeders,/collections/stable-and-yard/hay-feeders
/accessories/collectibles/breyer,/accessories/collectibles,3,accessories,Breyer,/collections/horse-toys/breyer
/horse/halters/breakaway,/horse/halters,3,horse,Breakaway,/collections/horse-halters/breakaway
/horse/saddles/equipe,/horse/saddles,3,horse,Equipe,/collections/saddles/equipe
/horse/saddles/arena,/horse/saddles,3,horse,Arena,/collections/saddles/arena
/horse/pads/mattes,/horse/pads,3,horse,Mattes,/collections/saddle-pads/mattes
/horse/pads/bareback,/horse/pads,3,horse,Bareback,/collections/saddle-pads/bareback
/horse/pads/matchy-sets,/horse/pads,3,horse,Matchy Sets,/collections/saddle-pads/matchy-horse-sets
/horse/pads/sheepskin,/horse/pads,3,horse,Sheepskin,/collections/saddle-pads/sheepskin
/horse/pads/bare,/horse/pads,3,horse,Bare,/collections/saddle-pads/bare
/pet/food,/pet,2,pet,Food,/collections/pets/advance-pet-food
/pet/aristopet,/pet,2,pet,Aristopet,/collections/pets/aristopet
/rider/luggage/saddle-bags,/rider/luggage,3,rider,Saddle Bags,/collections/luggage/saddle-bags
/rider/luggage/backpacks,/rider/luggage,3,rider,Backpacks,/collections/luggage/backpacks
/horse/rugs/woolen,/horse/rugs,3,horse,Woolen,/collections/horse-rugs/woolen
/horse/rugs/canvas,/horse/rugs,3,horse,Canvas,/collections/horse-rugs/canvas
